Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781537786,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781537787,20,,Aggregated,0.000000,0.000000,18,73,110,130,220,260,280,280,280,280,280,39,0,18,68.58100051296135,3.4941860067192465,283.30646800168324,5958.410256410257
1781537788,40,,Aggregated,0.000000,0.000000,20,85,98,100,140,210,250,260,280,280,280,106,0,18,59.2297098397844,3.4941860067192465,283.30646800168324,5545.028301886792
1781537789,60,,Aggregated,0.000000,0.000000,21,85,98,100,150,180,250,280,300,300,300,163,0,21,60.11378526365516,3.4941860067192465,297.0267509954283,5550.233128834356
1781537790,80,,Aggregated,53.000000,0.000000,21,90,100,110,210,540,680,680,730,730,730,220,0,21,91.55306464057172,2.7373180055292323,729.1026419989066,5597.572727272727
1781537791,100,,Aggregated,53.000000,0.000000,18,89,100,110,180,510,680,680,730,730,730,253,0,18,86.5557095926971,2.7373180055292323,729.1026419989066,5711.521739130435
1781537792,120,,Aggregated,54.750000,0.000000,21,96,110,160,950,1800,1900,4400,5400,5400,5400,328,0,21,287.02288560040273,2.7373180055292323,5395.094205989153,5923.661585365854
1781537793,140,,Aggregated,50.600000,0.000000,13,60,96,110,670,1800,3500,4200,5400,5400,5400,619,0,13,256.6401378788505,1.9629820017144084,5395.094205989153,6049.515347334411
1781537794,160,,Aggregated,54.500000,0.000000,11,28,77,100,210,960,2500,4100,5400,5400,5400,980,0,11,178.2234169672272,1.9629820017144084,5395.094205989153,6375.357142857143
1781537795,180,,Aggregated,87.714286,0.000000,10,25,71,93,180,670,2900,4400,8800,8900,8900,1446,0,10,195.98374796533258,1.9629820017144084,8903.268348003621,6464.672890733057
1781537796,200,,Aggregated,121.625000,0.000000,11,23,69,95,200,560,4400,7700,8800,9500,9500,2031,0,11,244.97128644566246,1.9629820017144084,9470.097703000647,6533.157557853274
1781537797,220,,Aggregated,159.333333,0.000000,12,31,75,100,210,650,4900,7800,8800,9500,9500,2697,8,12,263.32271284544674,1.9629820017144084,9470.097703000647,6497.377085650723
1781537798,240,,Aggregated,201.600000,0.000000,20,61,98,130,280,590,4700,7200,8800,9500,9500,3348,10,20,261.24072517357894,1.9629820017144084,9470.097703000647,6496.991338112306
1781537799,260,,Aggregated,264.300000,0.600000,33,76,110,150,330,570,4000,6900,8800,9500,9500,4033,10,33,246.2341379717991,1.9629820017144084,9470.097703000647,6534.590131415819
1781537800,280,,Aggregated,322.800000,1.000000,45,93,130,170,370,660,2800,6700,8800,9500,9500,4692,10,45,241.67397878247021,1.9629820017144084,9470.097703000647,6537.783674339301
1781537801,300,,Aggregated,385.000000,1.000000,61,110,160,220,450,710,1900,6100,8800,9500,9500,5359,10,61,244.0948468168156,1.9629820017144084,9470.097703000647,6534.038999813398
